"California Department of Education
Analysis, Measurement, and Accountability Reporting Division",,,,,,,,,,,,,,
New 28-Feb-2014,,,,,,,,,,,,,,
SAT Data File for 2012-13,,,,,,,,,,,,,,
"County
Number","District
Number","School
Number",County Name,District Name,School Name,"Grade
12","Number
Tested","Percent
Tested",V_Mean,M_Mean,W_Mean,Tot_Mean,GE1500Ct,Rate1500
01,0110017,0109835,Alameda,Alameda County Office of Educa,FAME Public Charter,75,27,36,501,467,526,1494,12,44.44
01,0110017,0112607,Alameda,Alameda County Office of Educa,Envision Academy for Arts & Te,59,50,84.75,392,388,397,1178,6,12
01,0110017,0118489,Alameda,Alameda County Office of Educa,Aspire California College Preparato,53,,,,,,,,
01,0110017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,67,,,,,,,,
01,0110017,0130419,Alameda,Alameda County Office of Educa,Alameda County Community,34,,,,,,,,
01,0110017,0130427,Alameda,Alameda County Office of Education,Alameda County Opportunity,16,,,,,,,,
01,0131617,0131763,Alameda,California School for the Deaf,California School for the Deaf,53,,,,,,,,
01,0161119,0106401,Alameda,Alameda City Unified,Alameda Science and Technology,41,37,90.24,512,547,508,1567,21,56.76
01,0161119,0119222,Alameda,Alameda Unified,NEA COMMUNITY LEARNING CENTER,7,7,100,,,,,,
01,0161119,0130229,Alameda,Alameda City Unified,Alameda High,472,345,73.09,540,576,540,1656,240,69.57
01,0161119,0130609,Alameda,Alameda City Unified,Alameda Community Learning Cen,18,14,77.78,539,518,530,1586,10,71.43
01,0161119,0130625,Alameda,Alameda City Unified,Bay Area School of Enterprise,30,24,80,362,355,381,1098,1,4.17
01,0161119,0132878,Alameda,Alameda City Unified,Encinal High,245,114,46.53,477,512,478,1466,50,43.86
01,0161119,0134304,Alameda,Alameda City Unified,Island High (Continuation),137,,,,,,,,
01,0161127,0130294,Alameda,Albany City Unified,MacGregor High (Continuation),17,,,,,,,,
01,0161127,0130450,Alameda,Albany City Unified,Albany High,291,202,69.42,576,608,569,1752,166,82.18
01,0161143,0131177,Alameda,Berkeley Unified,Berkeley High,792,498,62.88,555,560,553,1669,333,66.87
01,0161143,0134924,Alameda,Berkeley Unified,Berkeley Technology Academy,78,2,2.56,,,,,,
01,0161150,0130047,Alameda,Castro Valley Unified,Roy A. Johnson High,6,,,,,,,,
01,0161150,0132225,Alameda,Castro Valley Unified,Castro Valley High,711,426,59.92,524,563,522,1608,267,62.68
01,0161150,0135533,Alameda,Castro Valley Unified,Redwood Continuation High,59,1,1.69,,,,,,
01,0161168,0132746,Alameda,Emery Unified,Emery Secondary,47,24,51.06,398,391,393,1182,3,12.5
01,0161176,0127233,Alameda,Fremont Unified,Young Adult Program,23,,,,,,,,
01,0161176,0130062,Alameda,Fremont Unified,American High,449,306,68.15,556,591,564,1711,204,66.67
01,0161176,0130138,Alameda,Fremont Unified,Robertson High (Continuation),105,,,,,,,,
